Assest_class,Counterparty,Instrument_id,Instrument_name,Trade_date_time,trade-id,trader,Price,Quantity
Bond,Yes,TSLA,Guitar,01-04-2022,1,Garv,10000,1
Equity,No,AAPL,Violin,02-04-2022,2,Mohit,7000,2
FX,Yes,AMZN,Drums,03-04-2022,3,Sagar,50000,5
Equity,Yes,AAPL,Piano,04-04-2022,4,Pradeep,10000,2
Equity,No,TSLA,Flute,05-04-2022,5,Mohit,60000,10
FX,Yes,TSLA,Guitar,06-04-2022,6,Garv,1000,1
Bond,Yes,AAPL,Violin,07-04-2022,7,Sagar,80000,10
Equity,No,TSLA,Guitar,08-04-2022,8,Garv,100000,15
FX,Yes,AMZN,Drums,09-04-2022,9,Mohit,5000,3
Equity,No,TSLA,Violin,10-04-2022,10,Pradeep,15000,3
Bond,Yes,AAPL,Piano,11-04-2022,11,Pradeep,40000,8
Equity,No,AMZN,Guitar,12-04-2022,12,Garv,3000,1
FX,Yes,AAPL,Violin,13-04-2022,13,Mohit,45000,1
Bond,No,AMZN,Guitar,14-04-2022,14,Pradeep,30000,2
FX,No,TSLA,Drums,15-04-2022,15,Sagar,100000,4
Equity,No,AMZN,Guitar,16-04-2022,16,Pradeep,500000,20
FX,Yes,AAPL,Flute,17-04-2022,17,Garv,70000,7
Bond,No,TSLA,Drums,18-04-2022,18,Pradeep,6000,3
FX,Yes,AMZN,Guitar,19-04-2022,19,Mohit,10000,1
FX,Yes,TSLA,Violin,20-04-2022,20,Sagar,90000,10
Equity,No,TSLA,Drums,21-04-2022,21,Garv,70000,5
FX,Yes,AAPL,Guitar,22-04-2022,22,Pradeep,50000,5
Bond,No,TSLA,Flute,23-04-2022,23,Mohit,40000,2
FX,No,AMZN,Piano,24-04-2022,24,Sagar,100000,5
Equity,No,TSLA,Violin,25-04-2022,25,Pradeep,6000,1
FX,Yes,TSLA,Flute,26-04-2022,26,Garv,85000,3
FX,No,TSLA,Piano,27-04-2022,27,Pradeep,55000,2
Bond,No,AAPL,Drums,28-04-2022,28,Mohit,15500,1
FX,Yes,AMZN,Guitar,29-04-2022,29,Sagar,65000,5
Equity,No,TSLA,Violin,30-04-2022,30,Garv,75000,4
FX,No,TSLA,Flute,01-05-2022,31,Pradeep,85000,6
Bond,Yes,AAPL,Flute,02-05-2022,32,Mohit,60000,3
FX,No,TSLA,Guitar,03-05-2022,33,Garv,50000,5
Equity,No,AMZN,Drums,04-05-2022,34,Sagar,20000,1
FX,Yes,TSLA,Violin,05-05-2022,35,Mohit,80000,4
Bond,Yes,AAPL,Guitar,06-05-2022,36,Garv,10000,1
FX,No,TSLA,Flute,07-05-2022,37,Pradeep,100000,2
Equity,No,AMZN,Piano,08-05-2022,38,Sagar,65000,3
FX,Yes,AAPL,Flute,09-05-2022,39,Mohit,75000,3
Bond,No,AAPL,Drums,10-05-2022,40,Pradeep,95000,10
FX,No,AAPL,Violin,11-05-2022,41,Sagar,65000,3
FX,Yes,AMZN,Flute,12-05-2022,42,Garv,4000,1
Equity,Yes,AAPL,Guitar,13-05-2022,43,Pradeep,75000,2
FX,Yes,AMZN,Drums,14-05-2022,44,Mohit,80000,4
Equity,No,TSLA,Flute,15-05-2022,45,Sagar,90000,9
FX,No,AAPL,Violin,16-05-2022,46,Mohit,10000,1
Equity,Yes,AMZN,Piano,17-05-2022,47,Pradeep,55000,2
Bond,No,TSLA,Drums,18-05-2022,48,Sagar,45000,1
FX,Yes,AAPL,Guitar,19-05-2022,49,Garv,65000,1
Bond,No,TSLA,Flute,20-05-2022,50,Mohit,100000,2
